Equipment_name,Equipment_type,Make,Model,Owner,Phone,Email,Location,Availability,Delivery,Quantity
Woodturning Lathe,Power Tool,Rikon,70-220VSR,Michelle Adams,504-555-7890,madams90@gmail.com,"New Orleans, Louisiana",'True','True',2
Pipe Cutters,Plumbing Equipment,Ridgid,31632,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'True','True',5
Pipe Cutters,Plumbing Equipment,Milwaukee Tool,48-22-4253,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'True','True',3
Pipe Cutters,Plumbing Equipment,Lenox,21011TC138,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'True','False',4
Pipe Cutters,Plumbing Equipment,Wheeler-Rex,590,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'False','False',6
Pipe Cutters,Plumbing Equipment,Rothenberger,70020,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'False','True',2
Pipe Wrenches,Plumbing Equipment,Ridgid,31000,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'True','False',5
Pipe Wrenches,Plumbing Equipment,Irwin Tools,2078610,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'False','True',3
Pipe Wrenches,Plumbing Equipment,Channellock,804,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'True','True',4
Pipe Wrenches,Plumbing Equipment,Knipex,83 30 015,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'False','True',6
Pipe Wrenches,Plumbing Equipment,Craftsman,9-45102,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'True','True',2
Pipe Threaders,Plumbing Equipment,Ridgid,36475,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'True','False',5
Pipe Threaders,Plumbing Equipment,Rothenberger,63204,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'True','False',3
Pipe Threaders,Plumbing Equipment,Reed Manufacturing,R12+,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'True','True',4
Pipe Threaders,Plumbing Equipment,Wheeler-Rex,3890,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'False','True',6
Pipe Threaders,Plumbing Equipment,Oster,784-SL,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'False','True',2
Pipe Benders,Plumbing Equipment,Ridgid,38048,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'True','False',5
Pipe Benders,Plumbing Equipment,Greenlee,841,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'False','False',3
Pipe Benders,Plumbing Equipment,Gardner Bender,930,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'True','True',4
Pipe Benders,Plumbing Equipment,Imperial Tool,364-FHB08,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'False','False',6
Pipe Benders,Plumbing Equipment,Klein Tools,56206,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'True','True',2
Plumbing Snakes,Plumbing Equipment,Ridgid,59802,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'True','True',5
Plumbing Snakes,Plumbing Equipment,General Pipe Cleaners,DRZ-PH,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'True','True',3
Plumbing Snakes,Plumbing Equipment,Milwaukee Tool,2572B-21,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'True','True',4
Plumbing Snakes,Plumbing Equipment,Cobra Products,82550,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'False','False',6
Plumbing Snakes,Plumbing Equipment,BrassCraft,BC260,Jessica Sanchez,212-555-2345,jess.sanchez22@gmail.com,"New York City, New York",'False','False',2
Paint Sprayers,Painting and Decorating Tools,Graco,Magnum X7,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','True',3
Paint Sprayers,Painting and Decorating Tools,Wagner,Flexio 590,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'False','True',5
Paint Sprayers,Painting and Decorating Tools,Titan,ControlMax 1700 Pro,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','True',2
Paint Sprayers,Painting and Decorating Tools,Fuji Spray,Mini-Mite 4 Platinum,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'False','False',4
Paint Sprayers,Painting and Decorating Tools,HomeRight,Super Finish Max,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','False',6
Paint Rollers,Painting and Decorating Tools,Purdy,White Dove,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','True',5
Paint Rollers,Painting and Decorating Tools,Wooster Brush Company,Pro Doo-Z,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','True',3
Paint Rollers,Painting and Decorating Tools,Harris,T-Class Super Refresh Roller,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','True',4
Paint Rollers,Painting and Decorating Tools,Shur-Line,Paint + Prime Roller Kit,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'False','True',6
Paint Rollers,Painting and Decorating Tools,Linzer Products,Golden Eagle,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'False','True',2
Paint Brushes,Painting and Decorating Tools,Purdy,Monarch Elite,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','True',5
Paint Brushes,Painting and Decorating Tools,Wooster Brush Company,Silver Tip,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'False','False',3
Paint Brushes,Painting and Decorating Tools,Harris,Taskmasters,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','False',4
Paint Brushes,Painting and Decorating Tools,Benjamin Moore,Advance,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'False','True',6
Paint Brushes,Painting and Decorating Tools,Proform Technologies,Contractor Series,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','True',2
Wallpaper Steamers,Painting and Decorating Tools,Wagner,715 Power Steamer,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','True',5
Wallpaper Steamers,Painting and Decorating Tools,Earlex,SS77USSG Steammaster,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','True',3
Wallpaper Steamers,Painting and Decorating Tools,HomeRight,SteamMachine,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','True',4
Wallpaper Steamers,Painting and Decorating Tools,Zinsser,DIF Wallpaper Stripper,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'False','True',6
Wallpaper Steamers,Painting and Decorating Tools,Black & Decker,BDS200,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'False','False',2
Paint Scrapers,Painting and Decorating Tools,Hyde Tools,10530 MaxxGrip,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','False',5
Paint Scrapers,Painting and Decorating Tools,Warner Manufacturing,8150 ProGrip,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'False','True',3
Paint Scrapers,Painting and Decorating Tools,Red Devil,3010,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','True',4
Paint Scrapers,Painting and Decorating Tools,Stanley,28-593,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'False','True',6
Paint Scrapers,Painting and Decorating Tools,Titan Tools,17002,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','True',2
Drop Cloths,Painting and Decorating Tools,Trimaco,Canvas Drop Cloth,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','True',5
Drop Cloths,Painting and Decorating Tools,CoverGrip,Safety Drop Cloth,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','True',3
Drop Cloths,Painting and Decorating Tools,Everhard,8 oz Heavy-Duty Canvas Drop Cloth,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','False',4
Drop Cloths,Painting and Decorating Tools,BATES Choice,Plastic Drop Cloth,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'False','False',6
Drop Cloths,Painting and Decorating Tools,Simpli-Magic,Clear Plastic Drop Cloth,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'False','True',2
Paint Trays and Liners,Painting and Decorating Tools,Wooster Brush Company,Paint Tray,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','True',5
Paint Trays and Liners,Painting and Decorating Tools,Linzer Products,Metal Paint Tray,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'False','True',3
Paint Trays and Liners,Painting and Decorating Tools,Dynamic Paint Products,Deep Well Paint Tray,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','True',4
Paint Trays and Liners,Painting and Decorating Tools,Shur-Line,Paint Tray Kit,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'False','True',6
Paint Trays and Liners,Painting and Decorating Tools,HANDy Paint Products,Handy Paint Pail,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','True',2
Painters Tape,Painting and Decorating Tools,3M,ScotchBlue Original,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','False',5
Painters Tape,Painting and Decorating Tools,FrogTape,Multi-Surface,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','False',3
Painters Tape,Painting and Decorating Tools,ScotchBlue,Delicate Surfaces,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','True',4
Painters Tape,Painting and Decorating Tools,Shurtape,FrogTape Pro Grade,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'False','True',6
Painters Tape,Painting and Decorating Tools,Duck Brand,Clean Release,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'False','True',2
Ladders and Scaffolding,Painting and Decorating Tools,Werner,MT-22,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','True',5
Ladders and Scaffolding,Painting and Decorating Tools,Little Giant,Revolution,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'False','True',3
Ladders and Scaffolding,Painting and Decorating Tools,Louisville Ladder,FE3220,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','True',4
Ladders and Scaffolding,Painting and Decorating Tools,Gorilla Ladders,5.5 ft. Aluminum Hybrid Ladder,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'False','False',6
Ladders and Scaffolding,Painting and Decorating Tools,Metaltech,Safeclimb Baker Style Scaffold Tower,Mark Davis,312-555-6789,markdavis82@yahoo.com,"Chicago, Illinois",'True','False',2
Jacks,Automotive Tools,Craftsman,3-Ton Floor Jack,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',4
Jacks,Automotive Tools,Hein-Werner Automotive,2-Ton Service Jack,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',5
Jacks,Automotive Tools,Arcan,Quick Rise Steel Floor Jack,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',2
Jacks,Automotive Tools,Powerbuilt,All-in-One Bottle Jack,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'False','True',6
Jacks,Automotive Tools,Torin,Scissor Jack,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'False','True',3
Wrench Sets,Automotive Tools,Craftsman,Metric and Standard Wrench Set,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',5
Wrench Sets,Automotive Tools,GearWrench,120XP Ratcheting Wrench Set,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'False','True',3
Wrench Sets,Automotive Tools,Snap-on,Flank Drive Plus Combination Wrench Set,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',4
Wrench Sets,Automotive Tools,Tekton,Combination Wrench Set with Store and Go Keeper,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'False','False',6
Wrench Sets,Automotive Tools,Husky,Universal Mechanics Tool Set with Wrenches,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','False',2
Socket Sets,Automotive Tools,Craftsman,1/2-Inch Drive Socket Set,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',5
Socket Sets,Automotive Tools,GearWrench,3/8-Inch Drive Socket Set,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',3
Socket Sets,Automotive Tools,Snap-on,1/4-Inch Drive Socket Set,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',4
Socket Sets,Automotive Tools,Tekton,Impact Socket Set,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'False','True',6
Socket Sets,Automotive Tools,Husky,Universal Pass-Thru Socket and Ratchet Set,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'False','True',2
Diagnostic Equipment,Automotive Tools,Autel,MaxiCOM MK808 OBD2 Scanner,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',5
Diagnostic Equipment,Automotive Tools,Launch,X431 PROS Mini OBD2 Scan Tool,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'False','False',3
Diagnostic Equipment,Automotive Tools,Innova,3100i Diagnostic Code Reader,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','False',4
Diagnostic Equipment,Automotive Tools,Actron,CP9690 Elite AutoScanner,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'False','True',6
Diagnostic Equipment,Automotive Tools,BlueDriver,Bluetooth Pro OBDII Scan Tool,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',2
Jack Stands,Automotive Tools,Torin,Steel Jack Stands,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',5
Jack Stands,Automotive Tools,Powerbuilt,Unijack Bottle Jack and Jack Stand,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',3
Jack Stands,Automotive Tools,Hein-Werner Automotive,Heavy-Duty Jack Stands,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',4
Jack Stands,Automotive Tools,OTC,Aluminum Jack Stands,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'False','True',6
Jack Stands,Automotive Tools,ESCO,3-Ton Jack Stand,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'False','True',2
Tire Inflators,Automotive Tools,Viair,Portable Air Compressor,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',5
Tire Inflators,Automotive Tools,Kensun,AC/DC Tire Inflator,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'False','False',3
Tire Inflators,Automotive Tools,EPAuto,12V DC Portable Air Compressor,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','False',4
Tire Inflators,Automotive Tools,JACO,Tire Inflator with Pressure Gauge,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'False','True',6
Tire Inflators,Automotive Tools,AstroAI,Portable Air Compressor Pump,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',2
Oil Change Tools,Automotive Tools,Lisle,Oil Filter Wrench,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',5
Oil Change Tools,Automotive Tools,Craftsman,Oil Drain Pan,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',3
Oil Change Tools,Automotive Tools,Motivx Tools,Oil Filter Wrench Set,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',4
Oil Change Tools,Automotive Tools,OEMTOOLS,Oil Funnel,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'False','True',6
Oil Change Tools,Automotive Tools,Lumax,Oil Drain Plug,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'False','False',2
Battery Tools,Automotive Tools,NOCO,Genius G3500 Battery Charger,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','False',5
Battery Tools,Automotive Tools,Schumacher,SE-1052 Battery Charger,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'False','True',3
Battery Tools,Automotive Tools,Battery Tender,Plus Battery Charger,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',4
Battery Tools,Automotive Tools,Associated Equipment,Hand-Held Battery Tester,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'False','True',6
Battery Tools,Automotive Tools,CTEK,Multi US 7002 Battery Charger,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',2
Brake Tools,Automotive Tools,OTC,Brake Caliper Tool Set,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',5
Brake Tools,Automotive Tools,Lisle,Brake Bleeder Kit,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',3
Brake Tools,Automotive Tools,ABN,Brake Pad Spreader Tool,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',4
Brake Tools,Automotive Tools,Performance Tool,Brake Pad Gauge,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'False','True',6
Brake Tools,Automotive Tools,Powerbuilt,Brake Line Flaring Tool Kit,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'False','False',2
Engine Tools,Automotive Tools,OTC,Spark Plug Socket Set,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','False',5
Engine Tools,Automotive Tools,Lisle,Timing Belt Tool Kit,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'False','True',3
Engine Tools,Automotive Tools,Actron,Compression Tester Kit,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',4
Engine Tools,Automotive Tools,CTA Tools,Engine Cylinder Hone,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'False','True',6
Engine Tools,Automotive Tools,Lang Tools,Valve Spring Compressor,Andrew Jacobs,713-555-0123,andrewjacobs93@gmail.com,"Houston, Texas",'True','True',2
Carpet Cleaners,Carpet Cleaners,Bissell,Big Green Professional Carpet Cleaner,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'True','True',3
Carpet Cleaners,Carpet Cleaners,Hoover,Power Scrub Elite Pet Upright Carpet Cleaner,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'True','True',5
Carpet Cleaners,Carpet Cleaners,Rug Doctor,Deep Carpet Cleaner,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'True','False',2
Pressure Washers,Pressure Washers,Karcher,K5 Premium Electric Power Pressure Washer,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'False','False',4
Pressure Washers,Pressure Washers,Sun Joe,SPX3000 Electric High Pressure Washer,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'False','True',6
Pressure Washers,Pressure Washers,Simpson,MegaShot Gas Pressure Washer,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'True','True',3
Vacuum Cleaners,Vacuum Cleaners,Dyson,V11 Animal Cordless Vacuum Cleaner,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'False','True',7
Vacuum Cleaners,Vacuum Cleaners,Shark,Navigator Lift-Away Professional NV356E Upright Vacuum,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'True','True',5
Vacuum Cleaners,Vacuum Cleaners,Miele,Classic C1 Pure Suction Canister Vacuum Cleaner,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'False','True',2
Floor Scrubbers,Floor Scrubbers,Tennant,T300 Walk-Behind Floor Scrubber,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'True','True',3
Floor Scrubbers,Floor Scrubbers,Nilfisk,SC351 Compact Walk-Behind Floor Scrubber,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'True','True',4
Floor Scrubbers,Floor Scrubbers,Clarke,Focus II Midsize Boost 28 Walk-Behind Floor Scrubber,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'True','True',2
Window Cleaners,Window Cleaners,Ettore,Professional Window Cleaning Kit,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'True','False',5
Window Cleaners,Window Cleaners,Unger,Professional Microfiber Window Cleaning Kit,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'False','False',3
Window Cleaners,Window Cleaners,Pulex,Professional Window Cleaning Squeegee,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'False','True',2
Steam Cleaners,Steam Cleaners,McCulloch,MC1385 Deluxe Canister Steam Cleaner,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'True','True',4
Steam Cleaners,Steam Cleaners,Dupray,Neat Steam Cleaner Multipurpose Heavy Duty Steamer,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'False','True',3
Steam Cleaners,Steam Cleaners,Bissell,PowerFresh Slim Steam Mop,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'True','True',6
Air Purifiers,Air Purifiers,Coway,Airmega 400S Smart Air Purifier,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'False','True',2
Air Purifiers,Air Purifiers,Honeywell,'True' HEPA Allergen Remover HPA300,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'True','True',4
Air Purifiers,Air Purifiers,Blueair,Blue Pure 211+ Air Purifier,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'True','False',3
Dusting Tools,Dusting Tools,OXO,Good Grips Microfiber Hand Duster,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'True','False',6
Dusting Tools,Dusting Tools,Swiffer,Dusters Heavy Duty Super Extender Starter Kit,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'True','True',5
Dusting Tools,Dusting Tools,Casabella,Wayclean Deluxe Microfiber Dusting Pad,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'False','True',3
Janitorial Carts and Trolleys,Janitorial Carts and Trolleys,Rubbermaid,Commercial Cleaning Cart with Zippered Yellow Vinyl Bag,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'False','True',2
Janitorial Carts and Trolleys,Janitorial Carts and Trolleys,Carlisle,Janitorial Cleaning Cart with 3-Shelf,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'True','True',4
Janitorial Carts and Trolleys,Janitorial Carts and Trolleys,Uline,Janitorial Cleaning Cart with 2-Shelf,Daniel Lee,713-555-4567,daniel.lee78@yahoo.com,"Houston, Texas",'False','True',3
Tents,Structure Tent,E-Z UP,Speed Shelter,Emily Johnson,602-555-7891,ejohnson@live.com,"Phoenix, Arizona",'True','True',5
Tents,Canopy Tent,Coleman,Instant Canopy,Emily Johnson,602-555-7891,ejohnson@live.com,"Phoenix, Arizona",'False','True',3
Tents,Frame Tent,Big Agnes,Flying Diamond,Emily Johnson,602-555-7891,ejohnson@live.com,"Phoenix, Arizona",'True','True',2
Tables,Rectangular Table,Lifetime,Commercial Folding Table,Emily Johnson,602-555-7891,ejohnson@live.com,"Phoenix, Arizona",'True','False',8
Tables,Round Table,Flash Furniture,Plastic Folding Table,Emily Johnson,602-555-7891,ejohnson@live.com,"Phoenix, Arizona",'True','False',6
Tables,Folding Table,Cosco,Centerfold Table,Emily Johnson,602-555-7891,ejohnson@live.com,"Phoenix, Arizona",'True','True',10
Chairs,Folding Chair,Resol,White Plastic Folding Chair,Emily Johnson,602-555-7891,ejohnson@live.com,"Phoenix, Arizona",'False','True',20
Chairs,Banquet Chair,Hercules,Padded Stackable Chair,Emily Johnson,602-555-7891,ejohnson@live.com,"Phoenix, Arizona",'False','True',12
Chairs,Chiavari Chair,Mity Lite,Resin Chiavari Chair,Emily Johnson,602-555-7891,ejohnson@live.com,"Phoenix, Arizona",'True','True',15
Sound Systems,Portable PA System,JBL,PartyBox 300,Emily Johnson,602-555-7891,ejohnson@live.com,"Phoenix, Arizona",'False','True',2
Sound Systems,Wireless Speaker,Bose,SoundLink Revolve+,Emily Johnson,602-555-7891,ejohnson@live.com,"Phoenix, Arizona",'True','True',4
Sound Systems,Portable PA System,Yamaha,Stagepas 1K,Emily Johnson,602-555-7891,ejohnson@live.com,"Phoenix, Arizona",'False','False',3
Projectors,Video Projector,Epson,Home Cinema 2150,Emily Johnson,602-555-7891,ejohnson@live.com,"Phoenix, Arizona",'True','False',2
Projectors,Portable Projector,Optoma,HD146X,Emily Johnson,602-555-7891,ejohnson@live.com,"Phoenix, Arizona",'True','True',3
Projectors,Multimedia Projector,BenQ,TH671ST,Emily Johnson,602-555-7891,ejohnson@live.com,"Phoenix, Arizona",'True','True',4
Lighting Equipment,String Lights,Chauvet,LED Fairy Lights,Emily Johnson,602-555-7891,ejohnson@live.com,"Phoenix, Arizona",'True','True',10
Lighting Equipment,Spotlight,ADJ (American DJ),Mega Go Par64 Plus,Emily Johnson,602-555-7891,ejohnson@live.com,"Phoenix, Arizona",'False','True',6
Lighting Equipment,Uplighting Fixture,Elation,COLORband T3 BT,Emily Johnson,602-555-7891,ejohnson@live.com,"Phoenix, Arizona",'False','True',8
Dance Floors,Portable Dance Floor,SnapLock Dance Floors,Event Wood Dance Floor,Emily Johnson,602-555-7891,ejohnson@live.com,"Phoenix, Arizona",'True','True',3
Dance Floors,LED Dance Floor,Greatmats,Dance Floor Tiles - LED,Emily Johnson,602-555-7891,ejohnson@live.com,"Phoenix, Arizona",'False','True',2
Dance Floors,Modular Dance Floor,IncStores,Max Tile Portable Dance Floor,Emily Johnson,602-555-7891,ejohnson@live.com,"Phoenix, Arizona",'True','True',4
